time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,21.8,44,35104.77,11.4,11.4
1,22.9,37,35047.02,13.2,13.2
2,23.5,41,34989.09,10.8,10.8
3,22.2,45,34931.0,15.7,15.7
4,19.9,52,34872.83,17.4,17.4
5,17.8,45,34814.61,15.8,15.8
6,17.0,29,34756.4,12.0,12.0
7,18.9,60,34698.25,15.8,15.8
8,20.4,45,34640.23,20.9,20.9
9,22.9,44,34582.38,21.4,21.4
10,24.0,49,31262.83,19.2,19.2
11,23.6,46,26147.11,15.8,15.8
12,20.8,86,12134.59,18.4,18.4
13,20.4,100,32299.67,11.2,11.2
14,19.4,95,28666.09,15.0,15.0
15,16.6,100,29758.56,26.0,26.0
16,15.1,68,33907.75,14.8,14.8
17,17.7,52,33857.2,18.9,18.9
18,16.2,62,33688.46,14.3,14.3
19,15.0,62,27835.25,13.9,13.9
20,15.2,69,33254.11,23.5,23.5
21,14.6,92,32773.99,10.9,10.9
22,13.9,53,32269.55,17.6,17.6
23,16.6,43,28178.11,18.0,18.0
24,17.5,47,29132.27,18.5,18.5
25,15.8,74,32570.48,15.1,15.1
26,13.6,87,22521.06,20.0,20.0
27,12.5,100,32066.12,12.3,12.3
28,11.7,96,32331.47,10.6,10.6
29,12.0,100,32233.48,8.7,8.7
30,13.0,93,29059.86,8.7,8.7
31,17.1,66,32221.24,14.5,14.5
32,18.4,56,32217.39,15.7,15.7
33,15.5,77,31967.83,10.2,10.2
34,14.1,89,32143.44,9.1,9.1
35,12.3,49,32147.16,17.3,17.3
36,12.9,31,32088.58,20.0,20.0
37,12.4,44,30955.8,11.7,11.7
38,14.0,36,30523.68,11.1,11.1
39,12.1,63,32068.75,11.5,11.5
40,12.0,59,32085.87,10.7,10.7
41,14.2,66,32061.86,16.0,16.0
42,17.2,41,32081.88,24.5,24.5
43,15.9,49,32105.0,11.7,11.7
44,16.5,41,18627.93,14.7,14.7
45,16.8,42,17751.46,12.8,12.8
46,15.8,86,24942.78,21.9,21.9
47,15.6,85,32205.17,11.7,11.7
48,13.4,92,0.0,23.8,23.8
49,12.1,97,32264.13,16.4,16.4
