mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
19.4,95,28666.09,15.0,15.0
16.6,100,29758.56,26.0,26.0
15.1,68,33907.75,14.8,14.8
17.7,52,33857.2,18.9,18.9
16.2,62,33688.46,14.3,14.3
15.0,62,27835.25,13.9,13.9
15.2,69,33254.11,23.5,23.5
14.6,92,32773.99,10.9,10.9
13.9,53,32269.55,17.6,17.6
16.6,43,28178.11,18.0,18.0
17.5,47,29132.27,18.5,18.5
15.8,74,32570.48,15.1,15.1
13.6,87,22521.06,20.0,20.0
12.5,100,32066.12,12.3,12.3
11.7,96,32331.47,10.6,10.6
12.0,100,32233.48,8.7,8.7
13.0,93,29059.86,8.7,8.7
17.1,66,32221.24,14.5,14.5
18.4,56,32217.39,15.7,15.7
15.5,77,31967.83,10.2,10.2
14.1,89,32143.44,9.1,9.1
12.3,49,32147.16,17.3,17.3
12.9,31,32088.58,20.0,20.0
12.4,44,30955.8,11.7,11.7
14.0,36,30523.68,11.1,11.1
12.1,63,32068.75,11.5,11.5
12.0,59,32085.87,10.7,10.7
14.2,66,32061.86,16.0,16.0
17.2,41,32081.88,24.5,24.5
15.9,49,32105.0,11.7,11.7
16.5,41,18627.93,14.7,14.7
16.8,42,17751.46,12.8,12.8
15.8,86,24942.78,21.9,21.9
15.6,85,32205.17,11.7,11.7
13.4,92,0.0,23.8,23.8
12.1,97,32264.13,16.4,16.4
10.3,100,32295.99,8.4,8.4
10.3,100,32330.1,9.8,9.8
9.2,97,32366.34,9.3,9.3
9.4,87,32400.0,9.3,9.3
10.1,89,32400.0,9.5,9.5
11.6,87,32400.0,20.0,20.0
12.8,74,32400.0,17.5,17.5
10.5,92,25200.0,10.0,10.0
10.7,90,4893.26,12.6,12.6
10.4,92,32400.0,10.5,10.5
10.0,91,22172.05,30.6,30.6
9.1,96,32400.0,13.6,13.6
7.9,98,28800.0,10.1,10.1
8.1,96,32397.65,9.7,9.7
