time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,12.3,49,32147.16,17.3,17.3
1,12.9,31,32088.58,20.0,20.0
2,12.4,44,30955.8,11.7,11.7
3,14.0,36,30523.68,11.1,11.1
4,12.1,63,32068.75,11.5,11.5
5,12.0,59,32085.87,10.7,10.7
6,14.2,66,32061.86,16.0,16.0
7,17.2,41,32081.88,24.5,24.5
8,15.9,49,32105.0,11.7,11.7
9,16.5,41,18627.93,14.7,14.7
10,16.8,42,17751.46,12.8,12.8
11,15.8,86,24942.78,21.9,21.9
12,15.6,85,32205.17,11.7,11.7
13,13.4,92,0.0,23.8,23.8
14,12.1,97,32264.13,16.4,16.4
15,10.3,100,32295.99,8.4,8.4
16,10.3,100,32330.1,9.8,9.8
17,9.2,97,32366.34,9.3,9.3
18,9.4,87,32400.0,9.3,9.3
19,10.1,89,32400.0,9.5,9.5
20,11.6,87,32400.0,20.0,20.0
21,12.8,74,32400.0,17.5,17.5
22,10.5,92,25200.0,10.0,10.0
23,10.7,90,4893.26,12.6,12.6
24,10.4,92,32400.0,10.5,10.5
25,10.0,91,22172.05,30.6,30.6
26,9.1,96,32400.0,13.6,13.6
27,7.9,98,28800.0,10.1,10.1
28,8.1,96,32397.65,9.7,9.7
29,7.1,74,10800.0,29.4,29.4
30,4.9,72,32397.5,15.1,15.1
31,5.4,84,32438.43,10.2,10.2
32,6.4,90,32435.59,8.8,8.8
33,6.9,81,28120.26,39.3,39.3
34,5.6,74,32498.61,12.3,12.3
35,7.5,85,32497.16,8.4,8.4
36,9.8,76,32573.25,9.8,9.8
37,10.5,86,32491.58,10.4,10.4
38,11.2,88,32744.4,10.2,10.2
39,11.8,88,32400.0,10.3,10.3
40,13.9,75,32846.83,9.1,9.1
41,15.2,80,31339.35,11.9,11.9
42,14.0,74,11815.21,11.3,11.3
43,12.3,95,0.0,12.4,12.4
44,11.5,100,16018.94,16.9,16.9
45,12.1,98,7830.8,28.4,28.4
46,11.8,100,23299.89,8.9,8.9
47,11.7,99,22435.68,14.0,14.0
48,11.6,100,33569.34,13.7,13.7
49,12.6,91,33941.8,16.6,16.6
