time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,28.9,36,36812.69,15.7,17.4
1,27.4,30,36545.77,10.5,16.95
2,25.7,45,36195.48,14.1,16.74
3,23.3,54,35955.5,16.5,14.16
4,22.7,60,34654.48,15.9,15.11
5,23.4,72,34911.23,11.6,14.95
6,23.2,69,35713.81,13.1,15.87
7,23.1,52,35660.19,19.7,15.87
8,19.5,31,35677.57,13.4,16.72
9,18.9,27,35479.04,26.6,16.24
10,19.6,22,35424.36,25.7,16.22
11,20.8,28,35307.86,22.4,16.01
12,20.1,52,35254.42,9.8,15.76
13,20.7,52,35162.26,10.2,15.68
14,21.8,44,35104.77,11.4,15.5
15,22.9,37,35047.02,13.2,15.07
16,23.5,41,34989.09,10.8,14.9
17,22.2,45,34931.0,15.7,14.81
18,19.9,52,34872.83,17.4,14.94
19,17.8,45,34814.61,15.8,14.79
20,17.0,29,34756.4,12.0,14.71
21,18.9,60,34698.25,15.8,14.11
22,20.4,45,34640.23,20.9,14.23
23,22.9,44,34582.38,21.4,13.8
24,24.0,49,31262.83,19.2,13.18
25,23.6,46,26147.11,15.8,10.99
26,20.8,86,12134.59,18.4,7.51
27,20.4,100,32299.67,11.2,11.82
28,19.4,95,28666.09,15.0,10.27
29,16.6,100,29758.56,26.0,11.85
30,15.1,68,33907.75,14.8,13.09
31,17.7,52,33857.2,18.9,13.13
32,16.2,62,33688.46,14.3,13.08
33,15.0,62,27835.25,13.9,10.8
34,15.2,69,33254.11,23.5,11.44
35,14.6,92,32773.99,10.9,12.9
36,13.9,53,32269.55,17.6,12.65
37,16.6,43,28178.11,18.0,9.43
38,17.5,47,29132.27,18.5,11.31
39,15.8,74,32570.48,15.1,11.24
40,13.6,87,22521.06,20.0,9.78
41,12.5,100,32066.12,12.3,11.1
42,11.7,96,32331.47,10.6,11.99
43,12.0,100,32233.48,8.7,11.98
44,13.0,93,29059.86,8.7,10.53
45,17.1,66,32221.24,14.5,11.92
46,18.4,56,32217.39,15.7,11.92
47,15.5,77,31967.83,10.2,11.82
48,14.1,89,32143.44,9.1,12.03
49,12.3,49,32147.16,17.3,12.37
